Date,return_pct,volatility,shock_std,vol_trend_5,ret_5d,p30_dynamic,p70_dynamic,regime,vol_change,regime_future,regime_future_ml
2024-06-17,-0.2234669798733435,2.089405518452553,-0.1669954192797793,2.1940962132590776,-2.5992279487596197,2.6965603207607325,4.016158034354136,0,-0.06425787032976693,0.0,0.0
2024-06-18,-2.0505771883152946,2.025523233182577,-1.07430580078924,2.154724128133409,-2.449989594958879,2.6963057964939066,4.01586594100046,0,-0.06388228526997608,0.0,0.0
2024-06-19,-0.2773987515325871,2.0865440535565964,-0.1930718508301004,2.117166789205497,-1.6046549059526072,2.695951390003932,4.015573847646784,0,0.06102082037401946,0.0,0.0
2024-06-20,-0.2028534277712879,2.023938273446257,-0.1622122585479783,2.0758148934840603,-2.0796770353724625,2.6955572145088587,4.015281754293107,0,-0.06260578011033946,0.0,0.0
2024-06-21,-1.1362664075990736,1.964779443605129,-0.6421690650478795,2.0380381044486224,-3.8905627550915862,2.695373894987364,4.014730913199072,0,-0.05915882984112808,0.0,0.0
2024-06-22,0.2436781820078337,1.9508033578717725,0.0606027310772547,2.0103176723324663,-3.4234175932104094,2.6950076614878418,4.0140506982348585,0,-0.013976085733356403,0.0,0.0
2024-06-23,-1.6821441362001366,1.894837938761982,-0.953959317548434,1.9841806134483475,-3.0549845410952514,2.6946562075727267,4.013370483270644,0,-0.05596541910979047,0.0,0.0
2024-06-24,-4.704293399341175,1.9340808390817923,-2.4971797830127045,1.9536879705533867,-7.481879188903839,2.6945246165966608,4.01273681319412,0,0.03924290031981026,0.0,0.0
2024-06-25,2.5020978589857634,2.4471716561483,0.9711798035452616,2.0383346470937957,-4.776927902146788,2.694002131503355,4.012196232892976,0,0.5130908170665078,0.0,0.0
2024-06-26,-1.6203198264060248,2.477315711711289,-0.7047038812530673,2.140841900715027,-5.260981320953739,2.693296916400907,4.011655652591831,0,0.030144055562988825,0.0,0.0
2024-06-27,1.296454786345791,2.4486461980976144,0.4782236880646259,2.240410468760196,-4.208204716615782,2.692434926645656,4.011115072290687,0,-0.028669513613674535,0.0,0.0
2024-06-28,-2.107381200861269,2.385975301139784,-0.9358166325195258,2.338637941235756,-4.633441781276915,2.6918139663603933,4.011072215674748,0,-0.06267089695783046,0.0,0.0
2024-06-29,0.9359920064692772,2.408867153626758,0.3364809198891758,2.433595204144749,1.0068436245335377,2.690831718860177,4.01102935905881,0,0.022891852486973896,0.0,0.0
2024-06-30,2.898927273172447,2.333398869060745,1.1885979457780054,2.4108406467272383,1.4036730387202212,2.6897427049952034,4.010986502442871,0,-0.07546828456601284,1.0,0.0
2024-07-01,0.2767262526905512,2.421950201484134,0.0624587912136792,2.399767544681807,3.300719117816797,2.689638885408972,4.010840350379055,0,0.08855133242338908,1.0,0.0
2024-07-02,-1.3180176056291515,2.3311973265750696,-0.619197594257705,2.376277770377298,0.6862467258418548,2.688962689821467,4.0106425505913,0,-0.09075287490906447,1.0,0.0
2024-07-03,-3.036320250661717,2.2947118019018853,-1.3778525123579026,2.358025070529718,-0.2426923239585932,2.688084615530746,4.010444750803544,0,-0.03648552467318433,1.0,0.0
2024-07-04,-5.457904895434851,2.438953708046205,-2.289243558719976,2.364042381413608,-6.636589225862721,2.687274220483257,4.010164067230266,0,0.14424190614431964,1.0,1.0
